Name,LineNum,Line
"ledereri, Pupa Zelebor, in Pfeiffer, 1868",17276,"ledereri, Pupa Zelebor, in Pfeiffer, 1868 [in 1853-1877], 6:316"
"lefebvreanus, Mytilus Ryckholt, 1852",17277,"lefebvreanus, Mytilus Ryckholt, 1852 [in 1852-1862), 1:134, plate 7: figures 10, 11"
"leferi, Cyclostoma Morelet, 1861",17278,"leferi, Cyclostoma Morelet, 1861b, 9:176"
"lefevrei, Marginella Bernardi, 1853",17279,"lefevrei, Marginella Bernardi, 1853e, 4:360, plate 12: figures 11, 12"
"legayi, Arca Rigaux and Sauvage, 1868",17280,"legayi, Arca Rigaux and Sauvage, 1868, 3:71, plate 5: figures 2, 3"
"legayi, Opis Rigaux and Sauvage, 1868",17281,"legayi, Opis Rigaux and Sauvage, 1868, 3:76, plate 6: figures 19-21"
"legayi, Pholadomya Rigaux and Sauvage, 1868",17282,"legayi, Pholadomya Rigaux and Sauvage, 1868, 3:80, plate 6: figures 1-3"
"legayi, Turritella Rigaux and Sauvage, 1868",17283,"legayi, Turritella Rigaux and Sauvage, 1868, 3:57, plate 2: figure 10"
"legrandi, Helix Cox, 1868",17284,"legrandi, Helix Cox, 1868:23, plate 12: figure 7"
"legumen, Malleus Reeve, 1858",17285,"legumen, Malleus Reeve, 1858 [in 1851-1870], ll(Malleus): plate 1: species 2"
"legumen, Modiola Philippi, 1851",17286,"legumen, Modiola Philippi, 1851 [in 1851-1852], 8:86"
"leguminacea, Pinna Gümbel, 1861",17287,"leguminacea, Pinna Gümbel, 1861:661"
"lehardyanum, Tylostoma Ryckholt, 1860",17288,"lehardyanum, Tylostoma Ryckholt, 1860 [in 1852-1862], 3: plate 21: figure 2"
"lehmanni, Bulimus Pfeiffer, 1865",17289,"lehmanni, Bulimus Pfeiffer, 1865b, 12:123; 1866 [in 1854-1869], 2: 281, plate 69: figures 7, 8"
"leibii, Unio Lea, 1862",17290,"leibii, Unio Lea, 1862a:168; 1866 [in 1866-1869], 6:44, plate 15: figure 42"
"leichardti, Helix Cox, 1864",17291,"leichardti, Helix Cox, 1864e:35; as leichhardti, 1868:25, plate 5: figure 1"
"leichhardti, Helix Cox, 1868",17292,"leichhardti, Helix Cox, 1868:25, plate 5: figure 1 [variation in spelling of leichardti)"
"leidyana, Goniobasis Lea, 1862",17293,"leidyana, Goniobasis Lea, 1862d:268; 1863e, 5:322, plate 38: figure 173 leidyL Amphicoelia Hall, 1868:387, plate 14: figures 13-15"
"leidyi, Cypricardia Lea, 1855",17294,"leidyi, Cypricardia Lea, 1855, 7:341, plate 4"
"leidyi, Helix Hall and Meek, 1855",17295,"leidyi, Helix Hall and Meek, 1855. 5(2):394, plate 3: figures 12 a,b"
"leidyi, Nautilus (Cryptoceras) Meek and Worthen, 1865",17296,"leidyi, Nautilus (Cryptoceras) Meek and Worthen, 1865 [in 1865- 1866]:262"
"leidyi, Paludina Meek and Hayden, 1856",17297,"leidyi, Paludina Meek and Hayden, 1856d, 8:123"
"leidyi, Planorbis Meek and Hayden, 1860",17298,"leidyi, Planorbis Meek and Hayden, 1860b: 175"
"leioderma, Volutilithes (Athleta) Conrad, 1860",17299,"leioderma, Volutilithes (Athleta) Conrad, 1860a, 4:292, plate 46: figure 32"
"leioma, Unio Benson, 1862",17300,"leioma, Unio Benson, 1862a, 10:192"
"leiophis, Helix Benson, 1860",17301,"leiophis, Helix Benson, 1860, 5:246"
"leiosoma, Holopea Billings, 1865",17302,"leiosoma, Holopea Billings, 1865:187, figure 168"
"leiosoma, Leda Ryckholt, 1860",17303,"leiosoma, Leda Ryckholt, 1860 [in 1852-1862], 2:153, plate 17: figures 8 a,b"
"leithi, Cerithium Hislop, 1860",17304,"leithi, Cerithium Hislop, 1860, 16:177, plate 8: figure 34"
"lejeaniana, Avicula M. Rouault, 1851",17305,"lejeaniana, Avicula M. Rouault, 1851, 8:391"
"lejeunii, Cerithium A. Rouault, 1850",17306,"lejeunii, Cerithium A. Rouault, 1850, 3(2):478, plate 16: figure 4"
"lelieuri, Pleurotoma Recluz, 1851",17307,"lelieuri, Pleurotoma Recluz, 1851e, 2:210, plate 5: figure 7"
"lemanei, Cardium Etallon, in Thurmann and Etallon, 1862",17308,"lemanei, Cardium Etallon, in Thurmann and Etallon, 1862:186, plate 22: figure 9"
"lemani, Pleurotomaria Loriol, 1861",17309,"lemani, Pleurotomaria Loriol, 1861:39, plate 3: figure 9"
"lembeyana, Helicina Poey, 1854",17310,"lembeyana, Helicina Poey, 1854 [in 1851-1861], 1:420, plate 33: figures 20-24"
"lemniscata, Natica Hörnes, 1856",17311,"lemniscata, Natica Hörnes, 1856, 12(2):26, plate 2: figures 7, 8"
"lemniscata, Natica Philippi, 1852",17312,"lemniscata, Natica Philippi, 1852 [in 1849-1853), 2(1): 122, plate 17: figure 9"
"lemniscata, Spiroglyphus spiruliformis Mörch, 1861",17313,"lemniscata, Spiroglyphus spiruliformis Mörch, 1861 [in 1861 —1862]: 328"
